,alg_name,dataset_name,Accuracy__test_median,Accuracy__test_mean,time__train_median,time__train_mean,Accuracy__test_mean_min,Accuracy__test_mean_max,normalized_Accuracy__test_mean,Accuracy_rank_mean,normalized_F1__test_mean,F1_rank_mean,F1__test_mean_min,F1__test_mean_max,normalized_Log Loss__test_mean,Log Loss_rank_mean,Log Loss__test_mean_min,Log Loss__test_mean_max,alg_type
74,CatBoost,openml__pc1__3918,0.9366502866502866,0.9359787059787059,1.1650986875000005,1.6076141159000001,0.8827846027846029,0.9404832104832106,0.9219304471256179,3.0,0.9219304471256179,3.0,0.8827846027846029,0.9404832104832106,0.0071992342973998666,5.0,0.1843069113347771,0.9791638041327879,gbdt
75,CatBoost,openml__pc3__3903,0.8977625347052098,0.8976400457292177,0.7740291365000012,1.3750258707999996,0.885485056344929,0.9001918993957212,0.8264852859522424,5.0,0.8264852859522424,5.0,0.885485056344929,0.9001918993957212,0.007735843136435464,5.0,0.2602101278312904,0.9802758176395457,gbdt
76,CatBoost,openml__pc4__3902,0.9141001417099669,0.9081058101086443,1.1224044404999916,1.1784820280000026,0.8703684459140293,0.9081058101086443,1.0,1.0,1.0,1.0,0.8703684459140293,0.9081058101086443,0.0015005057426508894,3.0,0.18999949304748823,1.234962640932658,gbdt
77,CatBoost,openml__phoneme__9952,0.8817005545286506,0.8819411925789005,0.8134391255000004,1.1073130886999984,0.716877524474567,0.9080321078934757,0.863508816540392,10.0,0.8635088165403921,10.0,0.7168775244745669,0.9080321078934757,0.11833067673822992,5.0,0.23647367745263295,0.533597784078405,gbdt
78,CatBoost,openml__postoperative-patient-data__146210,0.6666666666666666,0.6847222222222222,0.1324239360000003,0.33579152949999974,0.4666666666666666,0.7513888888888889,0.7658536585365855,19.0,0.7658536585365855,19.0,0.4666666666666666,0.7513888888888889,0.01649406072620717,20.0,0.5820564774247818,6.897259775975707,gbdt
79,CatBoost,openml__primary-tumor__146032,0.4705882352941176,0.46604278074866307,1.5327129490000644,1.9921460000000004,0.2477718360071301,0.4984848484848484,0.8706007820831854,9.0,0.861669328782223,11.0,0.09860123082905102,0.4393322309307351,0.05385404318685507,11.0,1.813718800460289,11.715484808497965,gbdt
80,CatBoost,openml__profb__3561,0.7259657594381036,0.7262510974539069,0.8344434534999934,0.7686666736999991,0.6071992976294995,0.7440298507462686,0.8700673724735326,3.0,0.8700673724735326,3.0,0.6071992976294995,0.7440298507462686,0.0,1.0,0.5157676560665527,2.1375020132141396,gbdt
81,CatBoost,openml__qsar-biodeg__9957,0.8571428571428571,0.864438454627134,1.245820028499999,1.200766991200003,0.7773135669362085,0.8796316262353999,0.8515103617843346,11.0,0.8515103617843346,11.0,0.7773135669362085,0.8796316262353999,0.0,1.0,0.3171698157523715,1.4609486558988705,gbdt
82,CatBoost,openml__rabe_266__3647,1.0,0.9583333333333333,0.11918446649999966,0.10912422580000007,0.45833333333333337,0.975,0.9677419354838709,11.0,0.9677419354838709,11.0,0.45833333333333337,0.975,0.008164444115549122,10.0,0.08883600169914033,4.969034723447704,gbdt
83,CatBoost,openml__satimage__2074,0.9043545878693624,0.9021772939346813,1.6330659925000077,2.1871265201999917,0.8236391912908243,0.9199066874027994,0.81583198707593,22.0,0.8129023801811539,22.0,0.8192578321070693,0.9173965065503742,0.021269854818115972,8.0,0.21887606520553496,1.3376362219315658,gbdt
84,CatBoost,openml__scene__3485,0.9875518672199172,0.9871213692946059,14.719862046500005,14.291350897600003,0.8766130705394192,0.989201244813278,0.9815266964573652,9.0,0.9815266964573652,9.0,0.8766130705394192,0.989201244813278,0.02624308848523114,13.0,0.049199793868009614,0.6339650820667035,gbdt
85,CatBoost,openml__semeion__9964,0.9281250000000001,0.9272012578616351,1.873059537999893,1.8553820993999524,0.6528262578616352,0.9585809748427673,0.8973696390003082,12.0,0.8914898285439652,14.0,0.6507288725883488,0.9585294256700907,0.03377650875734696,9.0,0.16784927252180554,2.7083879676353586,gbdt
86,CatBoost,openml__sick__3021,0.9880636604774535,0.9878019171122621,2.2035512090000005,3.6078588351000214,0.9374356167459617,0.9907196889955511,0.9452411994784897,3.0,0.9452411994784897,3.0,0.9374356167459617,0.9907196889955511,0.0,1.0,0.02927966852611908,0.7628381005655908,gbdt
87,CatBoost,openml__socmob__3797,0.9565217391304348,0.9515592203898052,0.674108975999995,0.8892915311999996,0.7794227886056971,0.9550149925037482,0.9803193306010931,3.0,0.9803193306010931,3.0,0.7794227886056972,0.9550149925037482,0.016154762293366116,3.0,0.11738326630106548,0.7524123759975241,gbdt
88,CatBoost,openml__sonar__39,0.8571428571428571,0.8361904761904763,1.300570281999983,1.6998670482000662,0.5671428571428571,0.8752380952380954,0.8732612055641421,9.0,0.8732612055641421,9.0,0.5671428571428571,0.8752380952380954,0.0013897527916009323,3.0,0.31488517901800894,9.333032834938201,gbdt
89,CatBoost,openml__spambase__43,0.951086956521739,0.9491445817221541,1.6677124049999978,2.6909769422000016,0.7126718853154768,0.9576218994624164,0.9653916421691776,8.0,0.9653916421691776,8.0,0.7126718853154768,0.9576218994624164,0.007722554409079184,6.0,0.13317265881784318,0.9211883445709296,gbdt
90,CatBoost,openml__splice__45,0.9592476489028212,0.9592476489028213,2.7014760084999807,2.5829575922000005,0.5504702194357367,0.9673981191222571,0.9804511278195487,3.0,0.9836865262468188,4.0,0.41141972954373635,0.9674816203143012,0.0017292777063164736,5.0,0.11483184138668742,9.403385406676701,gbdt
91,CatBoost,openml__steel-plates-fault__146817,0.7860824742268041,0.7882394924662967,1.579119298500018,3.6645103243000134,0.10513349193761563,0.8011287338091462,0.981480848477943,5.0,0.9827436236682543,5.0,0.03174376458285335,0.8020492675442688,0.0009562227795422893,5.0,0.5095772809077902,30.90404017604472,gbdt
92,CatBoost,openml__synthetic_control__3512,0.9833333333333332,0.9816666666666667,29.224538773000006,21.7225871589997,0.7116666666666667,0.9966666666666667,0.9473684210526315,5.0,0.9432226754370677,7.0,0.7022801012695346,0.9966583124477861,0.0003750248684476301,3.0,0.043999616819948864,3.7626644875603446,gbdt
93,CatBoost,openml__tae__47,0.6333333333333333,0.6241666666666666,0.2259500240000003,0.26468694329999953,0.31124999999999997,0.6558333333333334,0.9081015719467955,3.0,0.945386804977544,3.0,0.1717680418996208,0.6484948754948755,0.0,1.0,0.8969469612941399,12.420230784264827,gbdt
