,alg_name,dataset_name,Accuracy__test_median,Accuracy__test_mean,time__train_median,time__train_mean,Accuracy__test_mean_min,Accuracy__test_mean_max,normalized_Accuracy__test_mean,Accuracy_rank_mean,normalized_F1__test_mean,F1_rank_mean,F1__test_mean_min,F1__test_mean_max,normalized_Log Loss__test_mean,Log Loss_rank_mean,Log Loss__test_mean_min,Log Loss__test_mean_max,alg_type
1515,SVM,openml__kr-vs-kp__3,0.9968652037617556,0.9953066222570532,1.883306849500002,1.8958999239000007,0.9580691614420063,0.9953066222570532,1.0,1.0,1.0,1.0,0.9580691614420063,0.9953066222570532,0.0,1.0,0.0152558200937141,0.22030972924205927,baseline
1516,SVM,openml__labor__4,1.0,0.95,0.00110556299999995,0.00115422599999993,0.5933333333333334,0.95,1.0,1.0,1.0,1.0,0.5933333333333334,0.95,0.008732597468265454,6.0,0.12301839312432125,12.019891462922097,baseline
1517,SVM,openml__libras__360948,0.4305555555555556,0.4416666666666667,0.0771569395,0.08240469710000081,0.3055555555555555,0.4666666666666667,0.8448275862068968,3.0,0.7662400363188603,3.0,0.239930976217345,0.44370364947242724,0.0022165799602212174,2.0,1.577324157469492,3.932512133493906,baseline
1518,SVM,openml__lung-cancer__146024,0.3333333333333333,0.375,0.00116867299999995,0.00115804280000003,0.36666666666666664,0.5333333333333333,0.05000000000000015,16.0,0.27664974619289323,15.0,0.23666666666666664,0.45555555555555555,0.0,1.0,1.0308358255160037,23.4162281354383,baseline
1519,SVM,openml__lymph__10,0.7333333333333333,0.7557142857142857,0.0059679835000001,0.0060686103,0.5257142857142857,0.8442857142857143,0.7219730941704035,14.0,0.7766821473009424,14.0,0.3894275795518031,0.8255203821519611,0.19980084197183287,9.0,0.44126750913096613,2.1537889197817752,baseline
1520,SVM,openml__mfeat-factors__12,0.975,0.977,0.9995033299999818,0.9948267209000108,0.6115,0.977,1.0,1.0,0.9939824431588583,2.0,0.567774145873903,0.9779904481942874,0.019544373088214106,3.0,0.09045054103918058,1.7452246546065528,baseline
1521,SVM,openml__mfeat-fourier__14,0.8674999999999999,0.8644999999999999,1.6710665855000002,1.6742230769999964,0.7144999999999999,0.8644999999999999,1.0,1.0,1.0,1.0,0.7160319824268679,0.8637272556985106,0.0,1.0,0.34279114197590427,1.6222622100658737,baseline
1522,SVM,openml__mfeat-karhunen__16,0.98,0.9814999999999999,1.4905768535000021,1.4994842312999999,0.8074999999999999,0.9814999999999999,1.0,1.0,1.0,1.0,0.8071181132180753,0.981983189681521,0.00820936608599632,2.0,0.08956424890711782,1.7156638649091,baseline
1523,SVM,openml__mfeat-morphological__18,0.7375,0.7344999999999999,1270.9165464595008,961.7638940854997,0.1,0.748,0.9791666666666665,3.0,0.9907767277763937,2.0,0.02129870129870122,0.7332633800065295,0.006310978718249132,9.0,0.6100480695481595,29.08660898330884,baseline
1524,SVM,openml__mfeat-zernike__22,0.89,0.8885,2.645469689500004,2.3341973738000066,0.602,0.8885,1.0,1.0,1.0,1.0,0.5925124555697092,0.8924499558532728,0.0,1.0,0.32166046043173296,1.9250576348968036,baseline
1525,SVM,openml__monks-problems-2__146065,1.0,0.9949999999999999,0.18283463249999965,0.1830355757999999,0.6373497267759562,1.0,0.9862126120696146,7.0,0.9862126120696146,7.0,0.6373497267759562,1.0,0.04433980715361359,9.0,3.1038033189282726e-05,0.6427193200728664,baseline
1526,SVM,openml__mushroom__24,1.0,0.999384236453202,0.9434136774999615,1.2454909477999951,0.9527340507395221,1.0,0.9869723647481482,13.0,0.9869723647481482,13.0,0.9527340507395221,1.0,0.0020590397217415306,10.0,9.992007221626413e-16,0.13175256666005536,baseline
1527,SVM,openml__musk__3950,1.0,1.0,2.7469583824999972,2.8468772139999943,0.9640796431691727,1.0,1.0,1.0,1.0,1.0,0.9640796431691727,1.0,0.003930353325300145,4.0,9.992007221626413e-16,0.1556429937660552,baseline
1528,SVM,openml__ozone-level-8hr__9978,0.9388596682331705,0.9404142416980485,5.937124669500008,4.950188712500003,0.931723257912919,0.942773334163269,0.7865089424024788,5.0,0.7865089424024788,5.0,0.931723257912919,0.942773334163269,0.0,1.0,0.15477888984473015,0.2914014495257465,baseline
1529,SVM,openml__page-blocks__30,0.9461195105352354,0.9442696726671025,1.410350431500035,1.4279995759999906,0.9353200603157236,0.974056232402354,0.23104018464611892,17.0,0.3718623713826883,16.0,0.914964468141758,0.9736870856299937,0.0677248732355033,10.0,0.07923408849678226,1.3379032205458745,baseline
1530,SVM,openml__pc1__3918,0.927927927927928,0.9305733005733006,0.19080798499999968,0.19027440299999993,0.9215642915642915,0.9359787059787059,0.6250000000000029,8.0,0.6250000000000029,8.0,0.9215642915642915,0.9359787059787059,0.2177941264480358,9.0,0.18598205663105905,0.511719182372624,baseline
1531,SVM,openml__pc3__3903,0.8974358974358975,0.9001918993957212,0.42284330700000033,24.512232435200023,0.8880532418748979,0.9001918993957212,1.0,1.0,1.0,1.0,0.8880532418748979,0.9001918993957212,0.20142330367984185,8.0,0.2613511195094907,0.4423253942678965,baseline
1532,SVM,openml__pc4__3902,0.8797354747283892,0.8820311761927255,43.59138967649977,244.28745833399998,0.8744969296173831,0.9081058101086443,0.22417427969079243,12.0,0.22417427969079243,12.0,0.8744969296173831,0.9081058101086443,0.633361169139252,13.0,0.18999949304748823,0.4470197743692529,baseline
1533,SVM,openml__phoneme__9952,0.8611111111111112,0.8604747723694119,8.080100430000002,8.064488208799997,0.7490733894708017,0.9080321078934757,0.7008195838770671,16.0,0.7008195838770671,16.0,0.7490733894708017,0.9080321078934757,0.35080855338051276,14.0,0.23756191451793898,0.4717708766978637,baseline
1534,SVM,openml__postoperative-patient-data__146210,0.7638888888888888,0.7513888888888889,0.0022899965,0.0023654406999999303,0.5694444444444444,0.7513888888888889,1.0,1.0,1.0,1.0,0.5694444444444444,0.7513888888888889,0.004031431148758024,2.0,0.591612539501011,6.897259775975707,baseline
1535,SVM,openml__primary-tumor__146032,0.4411764705882353,0.4219251336898395,0.21995566350000925,0.21469061829999844,0.25383244206773614,0.4984848484848484,0.6870673952641166,10.0,0.7323692736835924,12.0,0.10819925034223492,0.4393322309307351,0.17398744851902542,9.0,1.813718800460289,5.61666816743384,baseline
