,dataset_name,Tree Accuracy,Tree Accuracy (normalized),Min Accuracy,Max Accuracy
104,openml__glass__40,0.66,0.76,0.35,0.75
105,openml__Internet-Advertisements__167125,0.97,0.76,0.94,0.97
106,openml__dermatology__35,0.95,0.76,0.85,0.98
107,openml__lymph__10,0.77,0.77,0.53,0.84
108,openml__dresses-sales__125920,0.60,0.77,0.54,0.62
109,openml__tae__47,0.58,0.77,0.34,0.66
110,openml__spambase__43,0.92,0.77,0.79,0.96
111,openml__Australian__146818,0.84,0.77,0.71,0.87
112,openml__airlines__189354,0.65,0.78,0.57,0.67
113,openml__JapaneseVowels__3510,0.87,0.79,0.43,0.99
114,openml__cylinder-bands__14954,0.74,0.79,0.42,0.83
115,openml__Satellite__167211,0.99,0.80,0.99,0.99
116,openml__fri_c0_100_5__3620,0.83,0.81,0.49,0.91
117,openml__audiology__7,0.72,0.82,0.34,0.80
118,openml__blood-transfusion-service-center__145836,0.79,0.82,0.75,0.80
119,openml__wilt__146820,0.98,0.82,0.95,0.99
120,openml__breast-w__15,0.95,0.83,0.86,0.97
121,openml__churn__167141,0.94,0.83,0.86,0.96
122,openml__MagicTelescope__3954,0.85,0.83,0.65,0.89
123,openml__magic__146206,0.85,0.83,0.65,0.89
124,openml__steel-plates-fault__146817,0.72,0.83,0.35,0.80
125,openml__ada_agnostic__3896,0.85,0.84,0.79,0.86
126,openml__autos__9,0.73,0.84,0.27,0.82
127,openml__APSFailure__168868,0.99,0.84,0.97,0.99
128,openml__analcatdata_chlamydia__3739,0.91,0.85,0.74,0.94
129,openml__splice__45,0.92,0.85,0.68,0.96
130,openml__colic__27,0.83,0.87,0.71,0.85
131,openml__banknote-authentication__10093,0.98,0.87,0.88,1.00
132,openml__eucalyptus__2079,0.63,0.88,0.34,0.67
133,openml__page-blocks__30,0.97,0.88,0.93,0.97
134,openml__philippine__190410,0.74,0.88,0.50,0.77
135,openml__credit-approval__29,0.85,0.88,0.68,0.88
136,openml__nursery__9892,0.99,0.88,0.91,1.00
137,openml__Fashion-MNIST__146825,0.81,0.89,0.10,0.90
138,openml__car-evaluation__146192,0.97,0.89,0.70,1.00
139,openml__monks-problems-2__146065,0.96,0.89,0.64,1.00
140,openml__sick__3021,0.98,0.90,0.94,0.99
141,openml__house_16H__3686,0.86,0.90,0.55,0.90
142,openml__ecoli__145977,0.83,0.90,0.43,0.87
143,openml__labor__4,0.92,0.91,0.59,0.95
144,openml__car__146821,0.97,0.91,0.69,1.00
145,openml__mfeat-morphological__18,0.70,0.92,0.10,0.75
146,openml__iris__59,0.95,0.94,0.47,0.99
147,openml__cjs__14967,0.96,0.95,0.31,1.00
148,openml__sylvine__168912,0.93,0.95,0.50,0.95
149,openml__soybean__41,0.92,0.95,0.57,0.94
150,openml__rabe_266__3647,0.97,0.95,0.80,0.97
151,openml__colic__25,0.86,0.95,0.64,0.87
152,openml__kr-vs-kp__3,0.99,0.96,0.94,1.00
153,openml__transplant__3748,0.98,0.96,0.82,0.99
154,openml__gas-drift__9986,0.96,0.96,0.29,0.99
155,openml__gas-drift-different-concentrations__9987,0.97,0.96,0.29,1.00
156,openml__adult-census__3953,0.85,0.97,0.24,0.87
157,openml__adult__7592,0.86,0.97,0.24,0.87
158,openml__anneal__2867,0.99,0.98,0.76,0.99
159,openml__sylva_agnostic__3889,0.99,0.98,0.77,0.99
160,openml__skin-segmentation__9965,1.00,0.98,0.92,1.00
161,openml__wall-robot-navigation__9960,1.00,0.99,0.70,1.00
162,openml__cardiotocography__9979,1.00,1.00,0.39,1.00
163,openml__shuttle__146212,1.00,1.00,0.92,1.00
164,openml__irish__3543,1.00,1.00,0.66,1.00
165,openml__hayes-roth__146063,0.81,1.00,0.47,0.81
166,openml__mushroom__24,1.00,1.00,0.95,1.00
167,openml__musk__3950,1.00,1.00,0.89,1.00
168,openml__acute-inflammations__10089,1.00,1.00,0.60,1.00
169,openml__visualizing_livestock__3731,0.85,1.00,0.78,0.85
170,openml__collins__3567,1.00,1.00,0.48,1.00
