,alg_name,dataset_name,Accuracy__test_median,Accuracy__test_mean,time__train_median,time__train_mean,Accuracy__test_mean_min,Accuracy__test_mean_max,normalized_Accuracy__test_mean,Accuracy_rank_mean,Accuracy_rank_median,normalized_F1__test_mean,F1_rank_median,F1_rank_mean,F1__test_mean_min,F1__test_mean_max,normalized_Log Loss__test_mean,Log Loss_rank_median,Log Loss_rank_mean,Log Loss__test_mean_min,Log Loss__test_mean_max
0,CatBoost,openml__APSFailure__168868,0.9941447368421052,0.9940131578947369,6.412328214999889,7.276400695999951,0.9703026315789474,0.9945,0.9798803697661767,3.0,2.0,0.9798803697661767,2.0,3.0,0.9703026315789474,0.9945,0.0021207005918697846,2.0,3.0,0.01765164126071714,0.624879178197398
1,CatBoost,openml__Amazon_employee_access__34539,0.9469026548672568,0.9473588070628047,1.7084390784999641,1.7295670454999907,0.9304221564215462,0.9515701993730679,0.8008613695405742,4.0,4.0,0.8008613695405742,4.0,4.0,0.9304221564215462,0.9515701993730679,0.003507397653228952,2.0,2.0,0.1556148625533225,0.36444745291735814
2,CatBoost,openml__Australian__146818,0.8695652173913043,0.872463768115942,1.347650415500004,1.3936433296000044,0.7115942028985507,0.872463768115942,1.0,1.0,2.0,1.0,2.0,1.0,0.7115942028985507,0.872463768115942,0.0,1.0,1.0,0.3026770878904542,0.7559201271042675
3,CatBoost,openml__Bioresponse__9910,0.7989397163120567,0.7955212765957447,5.815126114999998,6.748841987500006,0.7365999999999999,0.7968475177304964,0.9779867920752452,2.0,1.0,0.9779867920752452,1.0,2.0,0.7365999999999999,0.7968475177304964,0.013877076404597262,1.0,3.0,0.45171798904157245,0.7676308305621122
4,CatBoost,openml__Census-Income__168340,0.9588686374647211,0.9586581359364181,830.8256286279993,857.9219200076998,0.9453698004595015,0.9586581359364181,1.0,1.0,1.0,1.0,1.0,1.0,0.9453698004595015,0.9586581359364181,0.0019855759667759296,2.0,2.0,0.1091083088499506,0.26856974558398117
5,CatBoost,openml__Click_prediction_small__190408,0.8396545067914764,0.8385651255356125,14.031592825999951,16.12621326799999,0.8315810637107101,0.8385651255356125,1.0,1.0,1.0,1.0,1.0,1.0,0.8315810637107101,0.8385651255356125,0.0,1.0,1.0,0.4098558374820949,5.816983981635125
6,CatBoost,openml__Fashion-MNIST__146825,0.8743571428571428,0.874157142857143,118.23079375249995,108.4246265962001,0.1,0.9023714285714286,0.9648363778798562,6.0,6.0,0.9676065991884738,6.0,6.0,0.0181818181818181,0.9018090606708572,0.0025561247403594035,3.0,3.0,0.2688427708954021,31.058348509039206
7,CatBoost,openml__GesturePhaseSegmentationProcessed__14969,0.615501519756839,0.6160219493086234,11.644987057999998,7.844962246800003,0.4435332398098355,0.6945214919459041,0.6872381795992444,3.0,3.0,0.7758922544392819,3.0,3.0,0.32281206949660524,0.6849910496996265,0.057941981807898654,3.0,3.0,0.8197808956684158,3.5497321398390453
8,CatBoost,openml__Internet-Advertisements__167125,0.9695121951219512,0.9731604758708137,3.39530571599993,3.309501969199998,0.9423612665025732,0.9749934735585887,0.9438285714285725,5.0,6.0,0.9438285714285725,6.0,5.0,0.9423612665025732,0.9749934735585887,0.0,3.0,1.0,0.08995288437092677,0.3704625879490308
9,CatBoost,openml__JapaneseVowels__3510,0.9859437751004017,0.9866474926788398,30.916325235499585,28.63062404170027,0.43057767680551695,0.9896599436864811,0.9946117929576852,5.0,6.0,0.9945629594487855,6.0,5.0,0.3237801513256783,0.9896455778993914,0.004639364700679115,4.0,4.0,0.034225731733306494,2.1867073483180457
10,CatBoost,openml__LED-display-domain-7digit__125921,0.72,0.728,0.6964047699999867,1.113755037399994,0.698,0.736,0.7894736842105263,4.0,1.0,0.7406719626033661,5.0,5.0,0.6907476856476856,0.7316089022089022,0.0,1.0,1.0,0.8274094934397457,2.539521226992319
11,CatBoost,openml__MagicTelescope__3954,0.8874868559411146,0.8861724500525762,4.795357099499995,7.050301317600021,0.6515247108307045,0.8861724500525762,1.0,1.0,1.0,1.0,1.0,1.0,0.6515247108307045,0.8861724500525762,0.0,1.0,1.0,0.2854458901836911,0.647921493358824
12,CatBoost,openml__MiceProtein__146800,0.9814814814814816,0.9805555555555555,2.0736271294999895,3.3071409763000057,0.6611111111111111,0.9981481481481481,0.9478021978021978,8.0,8.0,0.9540877741822426,10.0,8.0,0.614618081477042,0.9981481481481481,0.0767444555418971,10.0,10.0,0.011986852568435496,1.380436728528355
13,CatBoost,openml__MiniBooNE__168335,0.9427571889896971,0.9428128096865382,8.844148141499971,7.955771183700006,0.8357954299936272,0.9462264851035804,0.969087722528384,3.0,3.0,0.969087722528384,3.0,3.0,0.8357954299936272,0.9462264851035804,0.014517946305147956,3.0,3.0,0.13825809204516343,0.39584598055010545
14,CatBoost,openml__PhishingWebsites__14952,0.9611035650871839,0.9605606604862004,5.313640600500037,5.994809734300011,0.9270028556700188,0.9729533682996081,0.7303031652050036,12.0,12.0,0.7303031652050036,12.0,12.0,0.9270028556700188,0.9729533682996081,0.12631297434823627,6.0,7.0,0.07000450075671823,0.2135361608615478
15,CatBoost,openml__Satellite__167211,0.9941176470588236,0.9935294117647059,0.7455701290000007,1.8813299843999958,0.9852941176470589,0.9949019607843137,0.8571428571428588,5.0,2.0,0.8571428571428588,2.0,5.0,0.9852941176470589,0.9949019607843137,0.05784787702822638,11.0,9.0,0.01834865319974004,0.11479747607867456
