,alg_name,dataset_name,Accuracy__test_median,Accuracy__test_mean,time__train_median,time__train_mean,dataset_name_count,Accuracy__test_mean_min,Accuracy__test_mean_max,normalized_Accuracy__test_mean,Accuracy_rank_mean,Accuracy_rank_median,F1__test_median,F1__test_mean,F1__test_mean_min,F1__test_mean_max,normalized_F1__test_mean,F1_rank_mean,F1_rank_median,Log Loss__test_median,Log Loss__test_mean,Log Loss__test_mean_min,Log Loss__test_mean_max,normalized_Log Loss__test_mean,Log Loss_rank_mean,Log Loss_rank_median
5393,rtdl_MLP,openml__analcatdata_authorship__3549,0.988095238095238,0.9916946778711484,4.622013699000036,4.504128814800007,10,0.9215406162464985,0.9976330532212885,0.9219584023559725,11.0,17.0,0.9881000947815142,0.9916349881587081,0.8915616715148607,0.9976232528964333,0.9435397373891542,12.0,16.0,0.0399954290935127,0.1776666982665861,0.00747353889535156,1.8298015093446858,0.09339326517019313,29.0,21.0
5394,rtdl_MLP,openml__analcatdata_boxing1__3540,0.8333333333333334,0.8083333333333333,3.291085866499981,3.617645106199995,10,0.45,0.8416666666666668,0.9148936170212764,3.0,1.0,0.8333333333333334,0.8083333333333333,0.45,0.8416666666666668,0.9148936170212764,3.0,1.0,0.6651643153506182,1.0418944481582642,0.4182533814144941,9.158647125700975,0.07135159867957194,33.0,25.0
5395,rtdl_MLP,openml__analcatdata_chlamydia__3739,0.9,0.89,5.315724777499987,5.1192479595999965,10,0.63,0.9400000000000001,0.8387096774193548,13.0,6.0,0.9,0.89,0.63,0.9400000000000001,0.8387096774193548,13.0,6.0,0.5383330742776338,1.0409401561718077,0.16422154191415753,8.30463061222827,0.10769957709555504,34.0,33.0
5396,rtdl_MLP,openml__analcatdata_dmft__3560,0.20625,0.21205696202531646,3.197636150500017,3.2951660528000133,10,0.17191455696202532,0.24335443037974686,0.5619047619047618,19.0,20.0,0.2120655678566799,0.1997795938351788,0.10866837527427793,0.2245984468170374,0.7859153138475857,18.0,9.0,1.8979343978711698,1.950564041737514,1.759145862947913,7.724956491037321,0.03208586237858911,27.0,27.0
5397,rtdl_MLP,openml__anneal__2867,0.7640449438202247,0.7616978776529338,3.9444914940000015,3.5318747067999956,10,0.7616978776529338,0.9922097378277153,0.0,32.0,31.0,0.6618478494238889,0.6585388620297088,0.6585388620297088,0.9907139142304204,0.0,36.0,31.0,7.647880543152762,7.570838787881009,0.03166910947622686,8.107068899440577,0.9335970818155696,32.0,32.0
5398,rtdl_MLP,openml__arrhythmia__5,0.5384057971014493,0.5485507246376812,1.6318209354999995,2.129995279200002,10,0.5111111111111111,0.7323188405797102,0.16925092815025133,29.0,30.0,0.3768728311900388,0.39169161875071246,0.38110109934972153,0.6910345782254356,0.03417029821821158,30.0,31.0,5.554661865249685,5.229678332502731,0.9323204471731495,13.783121345344933,0.33440389586464947,31.0,32.0
5399,rtdl_MLP,openml__artificial-characters__14964,0.6188845401174168,0.621257889602113,31.647549573499873,31.466731795399948,10,0.31718816784894893,0.9544926408436532,0.4771184490897035,21.0,21.0,0.6143799341555142,0.6109864686943158,0.30057488363056006,0.9544798343526277,0.47470444247437954,21.0,21.0,3.2101918412622212,3.2523957203797,0.147858435277111,6.514097002962319,0.487656447695992,29.0,29.0
5400,rtdl_MLP,openml__audiology__7,0.4782608695652174,0.4826086956521739,5.22951498450001,5.173813616199999,10,0.2604743083003952,0.80098814229249,0.41096892138939684,27.0,28.0,0.3197686244597,0.33553902597386975,0.11370462134638863,0.7807073865967146,0.33258393545673937,29.0,29.0,3.7899323727773586,3.6938764888474815,0.9129343867132149,8.81649460420829,0.35185941849072777,28.0,28.0
5401,rtdl_MLP,openml__autos__9,0.375,0.399047619047619,2.146118092500018,2.6633530318000025,10,0.22571428571428567,0.8152380952380952,0.29402261712439415,31.0,31.0,0.2685963274198568,0.27858428110130895,0.09679439587448738,0.7998195402481116,0.25858233760442706,32.0,32.0,18.648762506492687,18.282989646764406,0.6015017357739689,25.10118695323179,0.7217026567505073,35.0,35.0
5402,rtdl_MLP,openml__balance-scale__11,0.9760624679979519,0.9727086533538147,5.7720258369999975,5.558475049700003,10,0.7856374807987712,0.9887608806963646,0.920973027476683,8.0,7.0,0.9770003319661362,0.9731550151955559,0.7655894754511081,0.9893091885791376,0.9277928030672153,7.0,7.0,0.1098815193688912,0.1449915591348116,0.04912004434258129,2.5339795966280407,0.03858226703559648,9.0,8.0
5403,rtdl_MLP,openml__bank-marketing__14965,0.904998894049989,0.9050010658403689,122.02725883749963,110.56051525869938,10,0.8652757572137926,0.9091150531389169,0.9061575417275274,12.0,12.0,0.904998894049989,0.9050010658403689,0.8652757572137926,0.9091150531389169,0.9061575417275274,12.0,12.0,0.2115318228142153,0.21449632215941983,0.19710418311115363,0.9484722657099223,0.023147295514751882,11.0,11.0
5404,rtdl_MLP,openml__bank-marketing__9899,0.8938053097345132,0.8918376018285178,11.29338918150006,12.284859690200017,10,0.8803390376838773,0.9000214889917755,0.584203865909036,17.0,11.0,0.8938053097345132,0.8918376018285178,0.8803390376838773,0.9000214889917755,0.584203865909036,17.0,11.0,0.25257488992680605,0.2518702301985172,0.22913152857584515,0.9522492460201747,0.03144536646541592,12.0,14.0
5405,rtdl_MLP,openml__banknote-authentication__10093,1.0,1.0,9.546047857500003,9.154678143600002,10,0.6721305405691315,1.0,1.0,1.0,1.0,1.0,1.0,0.6721305405691315,1.0,1.0,1.0,1.0,8.527395987063762e-08,8.007381253525238e-07,8.007381253525238e-07,0.6304866544461047,0.0,1.0,1.0
5406,rtdl_MLP,openml__blood-transfusion-service-center__10101,0.7733333333333333,0.7647027027027027,6.145575383499988,5.467041560500019,10,0.754036036036036,0.7887927927927928,0.30689476412649114,27.0,15.0,0.7733333333333333,0.7647027027027027,0.754036036036036,0.7887927927927929,0.3068947641264902,27.0,15.0,0.4909858194715343,0.4937438761432597,0.47410284991419205,1.3242577453603528,0.023102879644961712,16.0,14.0
5407,rtdl_MLP,openml__blood-transfusion-service-center__145836,0.76,0.7647387387387388,6.236347464000005,6.117232729599994,10,0.754036036036036,0.7981621621621622,0.2425479787668452,28.0,27.0,0.76,0.7647387387387388,0.754036036036036,0.7981621621621622,0.2425479787668452,28.0,27.0,0.486471029392754,0.49529570629771846,0.4733337171526619,1.3220238029353633,0.02587751349163243,17.0,13.0
5408,rtdl_MLP,openml__breast-cancer__145799,0.6896551724137931,0.7102216748768473,2.783202797999987,3.1541876639999957,10,0.5873152709359606,0.7657635467980295,0.6887508626639064,25.0,33.0,0.6896551724137931,0.7102216748768473,0.5873152709359606,0.7657635467980295,0.6887508626639064,25.0,33.0,0.5577654090246618,0.5773323849254182,0.538732929920475,3.4805844746359234,0.013120803146671618,20.0,9.0
5409,rtdl_MLP,openml__breast-w__15,0.9571428571428572,0.9613664596273293,4.9584283734999985,4.585135472299994,10,0.6137888198757764,0.9713871635610765,0.9719777674849472,22.0,24.0,0.9571428571428572,0.9613664596273293,0.6137888198757764,0.9713871635610765,0.9719777674849472,22.0,24.0,0.15380638551893655,0.18361656643896632,0.094912137020932,1.091038844061972,0.08904934361365309,24.0,28.0
5410,rtdl_MLP,openml__car-evaluation__146192,0.994186046511628,0.9901666890711118,9.902569737500059,9.878623976700002,10,0.7002352466729399,0.9988405699690819,0.9709520218788339,16.0,16.0,0.994185493500578,0.990302083541429,0.5767793786747555,0.9988034102481821,0.979855823197893,16.0,15.0,0.0243070057324009,0.03749640367817386,0.0039077713186271845,6.469963368599261,0.005194609272099782,16.0,14.0
5411,rtdl_MLP,openml__car__146821,1.0,0.9953723618765963,8.873462063499993,8.862178665700002,10,0.6858011829546982,0.9976878612716764,0.9925758310435855,6.0,1.0,1.0,0.9954364926995529,0.5767793786747555,0.9977549677757036,0.9944926139753089,6.0,1.0,0.0043162136377546,0.02195639399385137,0.004189803936459125,7.451598999151561,0.002385606805223907,8.0,6.0
5412,rtdl_MLP,openml__cardiotocography__9979,0.3882097617149437,0.38657764195234295,10.020795919000022,8.880602514500003,10,0.20693152626450523,1.0,0.22652030894844719,32.0,30.0,0.28517411660434044,0.2812418297326097,0.07783869142818163,1.0,0.22057218884995863,32.0,32.0,15.446795221556158,14.89735612815565,9.207644833494214e-15,26.929575308723553,0.5531968461206963,34.0,34.0
5413,rtdl_MLP,openml__chess__3952,0.6840698503207413,0.6834894032776722,81.78631679450044,81.8610149791999,10,0.2740581361813176,0.9208366334935452,0.6330316619952574,13.0,13.0,0.6237562013871834,0.6254750876785289,0.2358922231748782,0.9207283976815935,0.5688701604938811,17.0,17.0,7.867751435696902,7.899701060022967,0.24948770210005664,9.815251864788745,0.7997493172330765,28.0,28.0
