dataset,alg,experiment

openml__APSFailure__168868,CatBoost,gpu-expt-a
openml__APSFailure__168868,DANet,algs-gpu-2-datasets-a
openml__APSFailure__168868,DecisionTree,cpu-expt
openml__APSFailure__168868,DeepFM,algs-gpu-2-datasets-a
openml__APSFailure__168868,KNN,cpu-expt
openml__APSFailure__168868,LightGBM,cpu-expt
openml__APSFailure__168868,LinearModel,cpu-expt
openml__APSFailure__168868,MLP,gpu-expt-a
openml__APSFailure__168868,NAM,algs-gpu-2-datasets-a
openml__APSFailure__168868,NODE,algs-gpu-2-datasets-a
openml__APSFailure__168868,RandomForest,cpu-expt
openml__APSFailure__168868,SAINT,algs-gpu-2-datasets-a
openml__APSFailure__168868,STG,algs-gpu-2-datasets-a
openml__APSFailure__168868,SVM,cpu-expt
openml__APSFailure__168868,TabNet,gpu-expt-a
openml__APSFailure__168868,TabTransformer,algs-gpu-2-datasets-a
openml__APSFailure__168868,VIME,gpu-expt-a
openml__APSFailure__168868,XGBoost,gpu-expt-a
openml__APSFailure__168868,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__APSFailure__168868,rtdl_MLP,algs-gpu-2-datasets-a
openml__Amazon_employee_access__34539,CatBoost,gpu-expt-a
openml__Amazon_employee_access__34539,DANet,algs-gpu-2-datasets-a
openml__Amazon_employee_access__34539,DecisionTree,cpu-expt
openml__Amazon_employee_access__34539,DeepFM,algs-gpu-2-datasets-a
openml__Amazon_employee_access__34539,KNN,cpu-expt
openml__Amazon_employee_access__34539,LightGBM,cpu-expt
openml__Amazon_employee_access__34539,LinearModel,cpu-expt
openml__Amazon_employee_access__34539,MLP,gpu-expt-a
openml__Amazon_employee_access__34539,NAM,algs-gpu-2-datasets-a
openml__Amazon_employee_access__34539,NODE,algs-gpu-2-datasets-a
openml__Amazon_employee_access__34539,RandomForest,cpu-expt
openml__Amazon_employee_access__34539,SAINT,algs-gpu-2-datasets-a
openml__Amazon_employee_access__34539,STG,algs-gpu-2-datasets-a
openml__Amazon_employee_access__34539,TabNet,gpu-expt-a
openml__Amazon_employee_access__34539,TabTransformer,algs-gpu-2-datasets-a
openml__Amazon_employee_access__34539,VIME,gpu-expt-a
openml__Amazon_employee_access__34539,XGBoost,gpu-expt-a
openml__Amazon_employee_access__34539,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__Amazon_employee_access__34539,rtdl_MLP,algs-gpu-2-datasets-a
openml__Amazon_employee_access__34539,rtdl_ResNet,algs-gpu-2-datasets-a
openml__Australian__146818,CatBoost,gpu-expt-a
openml__Australian__146818,DANet,algs-gpu-2-datasets-a
openml__Australian__146818,DecisionTree,cpu-expt
openml__Australian__146818,DeepFM,algs-gpu-2-datasets-a
openml__Australian__146818,KNN,cpu-expt
openml__Australian__146818,LightGBM,cpu-expt
openml__Australian__146818,LinearModel,cpu-expt
openml__Australian__146818,MLP,gpu-expt-a
openml__Australian__146818,NAM,algs-gpu-2-datasets-a
openml__Australian__146818,NODE,algs-gpu-2-datasets-a
openml__Australian__146818,RandomForest,cpu-expt
openml__Australian__146818,STG,algs-gpu-2-datasets-a
openml__Australian__146818,SVM,cpu-expt
openml__Australian__146818,TabNet,gpu-expt-a
openml__Australian__146818,TabTransformer,algs-gpu-2-datasets-a
openml__Australian__146818,VIME,gpu-expt-a
openml__Australian__146818,XGBoost,gpu-expt-a
openml__Australian__146818,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__Australian__146818,rtdl_MLP,algs-gpu-2-datasets-a
openml__Australian__146818,rtdl_ResNet,algs-gpu-2-datasets-a
openml__Bank-Note-Authentication-UCI__361002,CatBoost,gpu-expt-a
openml__Bank-Note-Authentication-UCI__361002,DecisionTree,cpu-expt
openml__Bank-Note-Authentication-UCI__361002,DeepFM,algs-gpu-2-datasets-a
openml__Bank-Note-Authentication-UCI__361002,KNN,cpu-expt
openml__Bank-Note-Authentication-UCI__361002,LightGBM,cpu-expt
openml__Bank-Note-Authentication-UCI__361002,LinearModel,cpu-expt
openml__Bank-Note-Authentication-UCI__361002,MLP,gpu-expt-a
openml__Bank-Note-Authentication-UCI__361002,NAM,algs-gpu-2-datasets-a
openml__Bank-Note-Authentication-UCI__361002,NODE,algs-gpu-2-datasets-a
openml__Bank-Note-Authentication-UCI__361002,RandomForest,cpu-expt
openml__Bank-Note-Authentication-UCI__361002,SAINT,algs-gpu-2-datasets-a
openml__Bank-Note-Authentication-UCI__361002,STG,algs-gpu-2-datasets-a
openml__Bank-Note-Authentication-UCI__361002,TabNet,gpu-expt-a
openml__Bank-Note-Authentication-UCI__361002,TabTransformer,algs-gpu-2-datasets-a
openml__Bank-Note-Authentication-UCI__361002,VIME,gpu-expt-a
openml__Bank-Note-Authentication-UCI__361002,XGBoost,gpu-expt-a
openml__Bioresponse__9910,CatBoost,gpu-expt-a
openml__Bioresponse__9910,DANet,algs-gpu-2-datasets-a
openml__Bioresponse__9910,DecisionTree,cpu-expt
openml__Bioresponse__9910,DeepFM,algs-gpu-2-datasets-a
openml__Bioresponse__9910,KNN,cpu-expt
openml__Bioresponse__9910,LightGBM,cpu-expt
openml__Bioresponse__9910,LinearModel,cpu-expt
openml__Bioresponse__9910,MLP,gpu-expt-a
openml__Bioresponse__9910,NAM,algs-gpu-2-datasets-a
openml__Bioresponse__9910,NODE,algs-gpu-2-datasets-a
openml__Bioresponse__9910,RandomForest,cpu-expt
openml__Bioresponse__9910,STG,algs-gpu-2-datasets-a
openml__Bioresponse__9910,SVM,cpu-expt
openml__Bioresponse__9910,TabNet,gpu-expt-a
openml__Bioresponse__9910,TabTransformer,algs-gpu-2-datasets-a
openml__Bioresponse__9910,VIME,gpu-expt-a
openml__Bioresponse__9910,XGBoost,gpu-expt-a
openml__Bioresponse__9910,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__Bioresponse__9910,rtdl_ResNet,algs-gpu-2-datasets-a
openml__CIFAR_10__167124,DANet,algs-gpu-2-datasets-a
openml__CIFAR_10__167124,DecisionTree,cpu-expt
openml__CIFAR_10__167124,KNN,cpu-expt
openml__CIFAR_10__167124,LightGBM,cpu-expt
openml__CIFAR_10__167124,LinearModel,cpu-expt
openml__CIFAR_10__167124,MLP,gpu-expt-a
openml__CIFAR_10__167124,NODE,algs-gpu-2-datasets-a
openml__CIFAR_10__167124,RandomForest,cpu-expt
openml__CIFAR_10__167124,STG,algs-gpu-2-datasets-a
openml__CIFAR_10__167124,SVM,cpu-expt
openml__CIFAR_10__167124,TabNet,gpu-expt-a
openml__CIFAR_10__167124,TabTransformer,algs-gpu-2-datasets-a
openml__CIFAR_10__167124,VIME,gpu-expt-a
openml__CIFAR_10__167124,XGBoost,gpu-expt-a
openml__CIFAR_10__167124,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__CIFAR_10__167124,rtdl_MLP,algs-gpu-2-datasets-a
openml__CIFAR_10__167124,rtdl_ResNet,algs-gpu-2-datasets-a
openml__Census-Income__168340,CatBoost,algs-gpu-1-datasets-b-v2
openml__Census-Income__168340,CatBoost,algs-gpu-1-datasets-b-v3
openml__Census-Income__168340,CatBoost,algs-gpu-1-datasets-b
openml__Census-Income__168340,DecisionTree,algs-cpu-1-datasets-b
openml__Census-Income__168340,DeepFM,algs-gpu-2-datasets-b
openml__Census-Income__168340,KNN,algs-cpu-1-datasets-b
openml__Census-Income__168340,LightGBM,algs-cpu-1-datasets-b
openml__Census-Income__168340,LinearModel,algs-cpu-1-datasets-b
openml__Census-Income__168340,MLP,algs-gpu-1-datasets-b-v3
openml__Census-Income__168340,MLP,algs-gpu-1-datasets-b
openml__Census-Income__168340,NAM,algs-gpu-2-datasets-b
openml__Census-Income__168340,NODE,algs-gpu-2-datasets-b
openml__Census-Income__168340,RandomForest,algs-cpu-1-datasets-b
openml__Census-Income__168340,STG,algs-gpu-2-datasets-b
openml__Census-Income__168340,SVM,algs-cpu-1-datasets-b
openml__Census-Income__168340,TabNet,algs-gpu-1-datasets-b-v3
openml__Census-Income__168340,TabNet,algs-gpu-1-datasets-b
openml__Census-Income__168340,TabTransformer,algs-gpu-2-datasets-b
openml__Census-Income__168340,VIME,algs-gpu-1-datasets-b-v3
openml__Census-Income__168340,VIME,algs-gpu-1-datasets-b
openml__Census-Income__168340,XGBoost,algs-gpu-1-datasets-b-v2
openml__Census-Income__168340,XGBoost,algs-gpu-1-datasets-b-v3
openml__Census-Income__168340,XGBoost,algs-gpu-1-datasets-b
openml__Census-Income__168340,rtdl_FTTransformer,algs-gpu-2-datasets-b
openml__Census-Income__168340,rtdl_MLP,algs-gpu-2-datasets-b
openml__Census-Income__168340,rtdl_ResNet,algs-gpu-2-datasets-b
openml__Click_prediction_small__190408,CatBoost,algs-gpu-1-datasets-b-v2
openml__Click_prediction_small__190408,CatBoost,algs-gpu-1-datasets-b-v3
openml__Click_prediction_small__190408,CatBoost,algs-gpu-1-datasets-b
openml__Click_prediction_small__190408,DecisionTree,algs-cpu-1-datasets-b
openml__Click_prediction_small__190408,DecisionTree,all-datasets-b
openml__Click_prediction_small__190408,DeepFM,algs-gpu-2-datasets-b
openml__Click_prediction_small__190408,KNN,algs-cpu-1-datasets-b
openml__Click_prediction_small__190408,LightGBM,algs-cpu-1-datasets-b
openml__Click_prediction_small__190408,LinearModel,algs-cpu-1-datasets-b
openml__Click_prediction_small__190408,LinearModel,all-datasets-b
openml__Click_prediction_small__190408,MLP,algs-gpu-1-datasets-b-v3
openml__Click_prediction_small__190408,MLP,algs-gpu-1-datasets-b
openml__Click_prediction_small__190408,NAM,algs-gpu-2-datasets-b
openml__Click_prediction_small__190408,NODE,algs-gpu-2-datasets-b
openml__Click_prediction_small__190408,RandomForest,algs-cpu-1-datasets-b
openml__Click_prediction_small__190408,SAINT,algs-gpu-2-datasets-b
openml__Click_prediction_small__190408,STG,algs-gpu-2-datasets-b
openml__Click_prediction_small__190408,SVM,algs-cpu-1-datasets-b
openml__Click_prediction_small__190408,TabNet,algs-gpu-1-datasets-b-v3
openml__Click_prediction_small__190408,TabNet,algs-gpu-1-datasets-b
openml__Click_prediction_small__190408,TabTransformer,algs-gpu-2-datasets-b
openml__Click_prediction_small__190408,VIME,algs-gpu-1-datasets-b-v3
openml__Click_prediction_small__190408,VIME,algs-gpu-1-datasets-b
openml__Click_prediction_small__190408,XGBoost,algs-gpu-1-datasets-b-v2
openml__Click_prediction_small__190408,XGBoost,algs-gpu-1-datasets-b-v3
openml__Click_prediction_small__190408,XGBoost,algs-gpu-1-datasets-b
openml__Click_prediction_small__190408,rtdl_MLP,algs-gpu-2-datasets-b
openml__Devnagari-Script__167121,DANet,algs-gpu-2-datasets-a
openml__Devnagari-Script__167121,DecisionTree,cpu-expt
openml__Devnagari-Script__167121,KNN,cpu-expt
openml__Devnagari-Script__167121,MLP,gpu-expt-a
openml__Devnagari-Script__167121,NODE,algs-gpu-2-datasets-a
openml__Devnagari-Script__167121,RandomForest,cpu-expt
openml__Devnagari-Script__167121,STG,algs-gpu-2-datasets-a
openml__Devnagari-Script__167121,SVM,cpu-expt
openml__Devnagari-Script__167121,TabNet,gpu-expt-a
openml__Devnagari-Script__167121,TabTransformer,algs-gpu-2-datasets-a
openml__Devnagari-Script__167121,VIME,gpu-expt-a
openml__Devnagari-Script__167121,XGBoost,gpu-expt-a
openml__Devnagari-Script__167121,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__EgyptianSkulls__5040,CatBoost,algs-gpu-1-datasets-b-v2
openml__EgyptianSkulls__5040,CatBoost,algs-gpu-1-datasets-b-v3
openml__EgyptianSkulls__5040,CatBoost,algs-gpu-1-datasets-b
openml__EgyptianSkulls__5040,DANet,algs-gpu-2-datasets-b
openml__EgyptianSkulls__5040,DecisionTree,algs-cpu-1-datasets-b
openml__EgyptianSkulls__5040,DecisionTree,all-datasets-b
openml__EgyptianSkulls__5040,DeepFM,algs-gpu-2-datasets-b
openml__EgyptianSkulls__5040,KNN,algs-cpu-1-datasets-b
openml__EgyptianSkulls__5040,LightGBM,algs-cpu-1-datasets-b
openml__EgyptianSkulls__5040,LinearModel,algs-cpu-1-datasets-b
openml__EgyptianSkulls__5040,LinearModel,all-datasets-b
openml__EgyptianSkulls__5040,MLP,algs-gpu-1-datasets-b-v3
openml__EgyptianSkulls__5040,MLP,algs-gpu-1-datasets-b
openml__EgyptianSkulls__5040,NAM,algs-gpu-2-datasets-b
openml__EgyptianSkulls__5040,NODE,algs-gpu-2-datasets-b
openml__EgyptianSkulls__5040,RandomForest,algs-cpu-1-datasets-b
openml__EgyptianSkulls__5040,STG,algs-gpu-2-datasets-b
openml__EgyptianSkulls__5040,SVM,algs-cpu-1-datasets-b
openml__EgyptianSkulls__5040,TabNet,algs-gpu-1-datasets-b-v3
openml__EgyptianSkulls__5040,TabNet,algs-gpu-1-datasets-b
openml__EgyptianSkulls__5040,TabTransformer,algs-gpu-2-datasets-b
openml__EgyptianSkulls__5040,VIME,algs-gpu-1-datasets-b-v3
openml__EgyptianSkulls__5040,VIME,algs-gpu-1-datasets-b
openml__EgyptianSkulls__5040,XGBoost,algs-gpu-1-datasets-b-v2
openml__EgyptianSkulls__5040,XGBoost,algs-gpu-1-datasets-b-v3
openml__EgyptianSkulls__5040,XGBoost,algs-gpu-1-datasets-b
openml__Fashion-MNIST__146825,CatBoost,gpu-expt-a
openml__Fashion-MNIST__146825,DANet,algs-gpu-2-datasets-a
openml__Fashion-MNIST__146825,DecisionTree,cpu-expt
openml__Fashion-MNIST__146825,KNN,cpu-expt
openml__Fashion-MNIST__146825,MLP,gpu-expt-a
openml__Fashion-MNIST__146825,NODE,algs-gpu-2-datasets-a
openml__Fashion-MNIST__146825,RandomForest,cpu-expt
openml__Fashion-MNIST__146825,STG,algs-gpu-2-datasets-a
openml__Fashion-MNIST__146825,SVM,cpu-expt
openml__Fashion-MNIST__146825,TabNet,gpu-expt-a
openml__Fashion-MNIST__146825,TabTransformer,algs-gpu-2-datasets-a
openml__Fashion-MNIST__146825,VIME,gpu-expt-a
openml__Fashion-MNIST__146825,XGBoost,gpu-expt-a
openml__Fashion-MNIST__146825,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__Fashion-MNIST__146825,rtdl_ResNet,algs-gpu-2-datasets-a
openml__GesturePhaseSegmentationProcessed__14969,CatBoost,gpu-expt-a
openml__GesturePhaseSegmentationProcessed__14969,DANet,algs-gpu-2-datasets-a
openml__GesturePhaseSegmentationProcessed__14969,DecisionTree,cpu-expt
openml__GesturePhaseSegmentationProcessed__14969,KNN,cpu-expt
openml__GesturePhaseSegmentationProcessed__14969,LightGBM,cpu-expt
openml__GesturePhaseSegmentationProcessed__14969,LinearModel,cpu-expt
openml__GesturePhaseSegmentationProcessed__14969,MLP,gpu-expt-a
openml__GesturePhaseSegmentationProcessed__14969,NODE,algs-gpu-2-datasets-a
openml__GesturePhaseSegmentationProcessed__14969,RandomForest,cpu-expt
openml__GesturePhaseSegmentationProcessed__14969,SAINT,algs-gpu-2-datasets-a
openml__GesturePhaseSegmentationProcessed__14969,STG,algs-gpu-2-datasets-a
openml__GesturePhaseSegmentationProcessed__14969,SVM,cpu-expt
openml__GesturePhaseSegmentationProcessed__14969,TabNet,gpu-expt-a
openml__GesturePhaseSegmentationProcessed__14969,TabTransformer,algs-gpu-2-datasets-a
openml__GesturePhaseSegmentationProcessed__14969,VIME,gpu-expt-a
openml__GesturePhaseSegmentationProcessed__14969,XGBoost,gpu-expt-a
openml__GesturePhaseSegmentationProcessed__14969,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__GesturePhaseSegmentationProcessed__14969,rtdl_MLP,algs-gpu-2-datasets-a
openml__GesturePhaseSegmentationProcessed__14969,rtdl_ResNet,algs-gpu-2-datasets-a
openml__Internet-Advertisements__167125,CatBoost,gpu-expt-a
openml__Internet-Advertisements__167125,DANet,algs-gpu-2-datasets-a
openml__Internet-Advertisements__167125,DecisionTree,cpu-expt
openml__Internet-Advertisements__167125,DeepFM,algs-gpu-2-datasets-a
openml__Internet-Advertisements__167125,KNN,cpu-expt
openml__Internet-Advertisements__167125,LightGBM,cpu-expt
openml__Internet-Advertisements__167125,LinearModel,cpu-expt
openml__Internet-Advertisements__167125,MLP,gpu-expt-a
openml__Internet-Advertisements__167125,NAM,algs-gpu-2-datasets-a
openml__Internet-Advertisements__167125,NODE,algs-gpu-2-datasets-a
openml__Internet-Advertisements__167125,RandomForest,cpu-expt
openml__Internet-Advertisements__167125,STG,algs-gpu-2-datasets-a
openml__Internet-Advertisements__167125,SVM,cpu-expt
openml__Internet-Advertisements__167125,TabNet,gpu-expt-a
openml__Internet-Advertisements__167125,TabTransformer,algs-gpu-2-datasets-a
openml__Internet-Advertisements__167125,VIME,gpu-expt-a
openml__Internet-Advertisements__167125,XGBoost,gpu-expt-a
openml__Internet-Advertisements__167125,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__Internet-Advertisements__167125,rtdl_MLP,algs-gpu-2-datasets-a
openml__Internet-Advertisements__167125,rtdl_ResNet,algs-gpu-2-datasets-a
openml__JapaneseVowels__3510,CatBoost,algs-gpu-1-datasets-b-v2
openml__JapaneseVowels__3510,CatBoost,algs-gpu-1-datasets-b-v3
openml__JapaneseVowels__3510,CatBoost,algs-gpu-1-datasets-b
openml__JapaneseVowels__3510,DANet,algs-gpu-2-datasets-b
openml__JapaneseVowels__3510,DecisionTree,algs-cpu-1-datasets-b
openml__JapaneseVowels__3510,DecisionTree,all-datasets-b
openml__JapaneseVowels__3510,KNN,algs-cpu-1-datasets-b
openml__JapaneseVowels__3510,LightGBM,algs-cpu-1-datasets-b
openml__JapaneseVowels__3510,LinearModel,algs-cpu-1-datasets-b
openml__JapaneseVowels__3510,LinearModel,all-datasets-b
openml__JapaneseVowels__3510,MLP,algs-gpu-1-datasets-b-v3
openml__JapaneseVowels__3510,MLP,algs-gpu-1-datasets-b
openml__JapaneseVowels__3510,NODE,algs-gpu-2-datasets-b
openml__JapaneseVowels__3510,RandomForest,algs-cpu-1-datasets-b
openml__JapaneseVowels__3510,STG,algs-gpu-2-datasets-b
openml__JapaneseVowels__3510,SVM,algs-cpu-1-datasets-b
openml__JapaneseVowels__3510,TabNet,algs-gpu-1-datasets-b-v3
openml__JapaneseVowels__3510,TabNet,algs-gpu-1-datasets-b
openml__JapaneseVowels__3510,TabTransformer,algs-gpu-2-datasets-b
openml__JapaneseVowels__3510,VIME,algs-gpu-1-datasets-b-v3
openml__JapaneseVowels__3510,VIME,algs-gpu-1-datasets-b
openml__JapaneseVowels__3510,XGBoost,algs-gpu-1-datasets-b-v2
openml__JapaneseVowels__3510,XGBoost,algs-gpu-1-datasets-b-v3
openml__JapaneseVowels__3510,XGBoost,algs-gpu-1-datasets-b
openml__JapaneseVowels__3510,rtdl_FTTransformer,algs-gpu-2-datasets-b
openml__JapaneseVowels__3510,rtdl_ResNet,algs-gpu-2-datasets-b
openml__LED-display-domain-7digit__125921,CatBoost,algs-gpu-1-datasets-b-v2
openml__LED-display-domain-7digit__125921,CatBoost,algs-gpu-1-datasets-b-v3
openml__LED-display-domain-7digit__125921,CatBoost,algs-gpu-1-datasets-b
openml__LED-display-domain-7digit__125921,DANet,algs-gpu-2-datasets-b
openml__LED-display-domain-7digit__125921,DecisionTree,algs-cpu-1-datasets-b
openml__LED-display-domain-7digit__125921,DecisionTree,all-datasets-b
openml__LED-display-domain-7digit__125921,KNN,algs-cpu-1-datasets-b
openml__LED-display-domain-7digit__125921,LightGBM,algs-cpu-1-datasets-b
openml__LED-display-domain-7digit__125921,LinearModel,algs-cpu-1-datasets-b
openml__LED-display-domain-7digit__125921,LinearModel,all-datasets-b
openml__LED-display-domain-7digit__125921,MLP,algs-gpu-1-datasets-b-v3
openml__LED-display-domain-7digit__125921,MLP,algs-gpu-1-datasets-b
openml__LED-display-domain-7digit__125921,NODE,algs-gpu-2-datasets-b
openml__LED-display-domain-7digit__125921,RandomForest,algs-cpu-1-datasets-b
openml__LED-display-domain-7digit__125921,SAINT,algs-gpu-2-datasets-b
openml__LED-display-domain-7digit__125921,STG,algs-gpu-2-datasets-b
openml__LED-display-domain-7digit__125921,SVM,algs-cpu-1-datasets-b
openml__LED-display-domain-7digit__125921,TabNet,algs-gpu-1-datasets-b-v3
openml__LED-display-domain-7digit__125921,TabNet,algs-gpu-1-datasets-b
openml__LED-display-domain-7digit__125921,TabTransformer,algs-gpu-2-datasets-b
openml__LED-display-domain-7digit__125921,VIME,algs-gpu-1-datasets-b-v3
openml__LED-display-domain-7digit__125921,VIME,algs-gpu-1-datasets-b
openml__LED-display-domain-7digit__125921,XGBoost,algs-gpu-1-datasets-b-v2
openml__LED-display-domain-7digit__125921,XGBoost,algs-gpu-1-datasets-b-v3
openml__LED-display-domain-7digit__125921,XGBoost,algs-gpu-1-datasets-b
openml__LED-display-domain-7digit__125921,rtdl_FTTransformer,algs-gpu-2-datasets-b
openml__LED-display-domain-7digit__125921,rtdl_MLP,algs-gpu-2-datasets-b
openml__MagicTelescope__3954,CatBoost,algs-gpu-1-datasets-b-v2
openml__MagicTelescope__3954,CatBoost,algs-gpu-1-datasets-b-v3
openml__MagicTelescope__3954,CatBoost,algs-gpu-1-datasets-b
openml__MagicTelescope__3954,DecisionTree,algs-cpu-1-datasets-b
openml__MagicTelescope__3954,DecisionTree,all-datasets-b
openml__MagicTelescope__3954,DeepFM,algs-gpu-2-datasets-b
openml__MagicTelescope__3954,KNN,algs-cpu-1-datasets-b
openml__MagicTelescope__3954,LightGBM,algs-cpu-1-datasets-b
openml__MagicTelescope__3954,LinearModel,algs-cpu-1-datasets-b
openml__MagicTelescope__3954,LinearModel,all-datasets-b
openml__MagicTelescope__3954,MLP,algs-gpu-1-datasets-b-v3
openml__MagicTelescope__3954,MLP,algs-gpu-1-datasets-b
openml__MagicTelescope__3954,NAM,algs-gpu-2-datasets-b
openml__MagicTelescope__3954,NODE,algs-gpu-2-datasets-b
openml__MagicTelescope__3954,RandomForest,algs-cpu-1-datasets-b
openml__MagicTelescope__3954,STG,algs-gpu-2-datasets-b
openml__MagicTelescope__3954,TabNet,algs-gpu-1-datasets-b-v3
openml__MagicTelescope__3954,TabNet,algs-gpu-1-datasets-b
openml__MagicTelescope__3954,TabTransformer,algs-gpu-2-datasets-b
openml__MagicTelescope__3954,VIME,algs-gpu-1-datasets-b-v3
openml__MagicTelescope__3954,VIME,algs-gpu-1-datasets-b
openml__MagicTelescope__3954,XGBoost,algs-gpu-1-datasets-b-v2
openml__MagicTelescope__3954,XGBoost,algs-gpu-1-datasets-b-v3
openml__MagicTelescope__3954,XGBoost,algs-gpu-1-datasets-b
openml__MagicTelescope__3954,rtdl_FTTransformer,algs-gpu-2-datasets-b
openml__MagicTelescope__3954,rtdl_MLP,algs-gpu-2-datasets-b
openml__MagicTelescope__3954,rtdl_ResNet,algs-gpu-2-datasets-b
openml__MiceProtein__146800,CatBoost,gpu-expt-a
openml__MiceProtein__146800,DANet,algs-gpu-2-datasets-a
openml__MiceProtein__146800,DecisionTree,cpu-expt
openml__MiceProtein__146800,KNN,cpu-expt
openml__MiceProtein__146800,LightGBM,cpu-expt
openml__MiceProtein__146800,LinearModel,cpu-expt
openml__MiceProtein__146800,MLP,gpu-expt-a
openml__MiceProtein__146800,NODE,algs-gpu-2-datasets-a
openml__MiceProtein__146800,RandomForest,cpu-expt
openml__MiceProtein__146800,SAINT,algs-gpu-2-datasets-a
openml__MiceProtein__146800,STG,algs-gpu-2-datasets-a
openml__MiceProtein__146800,SVM,cpu-expt
openml__MiceProtein__146800,TabNet,gpu-expt-a
openml__MiceProtein__146800,TabTransformer,algs-gpu-2-datasets-a
openml__MiceProtein__146800,VIME,gpu-expt-a
openml__MiceProtein__146800,XGBoost,gpu-expt-a
openml__MiceProtein__146800,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__MiceProtein__146800,rtdl_ResNet,algs-gpu-2-datasets-a
openml__MiniBooNE__168335,CatBoost,gpu-expt-a
openml__MiniBooNE__168335,DANet,algs-gpu-2-datasets-a
openml__MiniBooNE__168335,DecisionTree,cpu-expt
openml__MiniBooNE__168335,DeepFM,algs-gpu-2-datasets-a
openml__MiniBooNE__168335,KNN,cpu-expt
openml__MiniBooNE__168335,LightGBM,cpu-expt
openml__MiniBooNE__168335,LinearModel,cpu-expt
openml__MiniBooNE__168335,MLP,gpu-expt-a
openml__MiniBooNE__168335,NAM,algs-gpu-2-datasets-a
openml__MiniBooNE__168335,NODE,algs-gpu-2-datasets-a
openml__MiniBooNE__168335,RandomForest,cpu-expt
openml__MiniBooNE__168335,SAINT,algs-gpu-2-datasets-a
openml__MiniBooNE__168335,STG,algs-gpu-2-datasets-a
openml__MiniBooNE__168335,TabNet,gpu-expt-a
openml__MiniBooNE__168335,TabTransformer,algs-gpu-2-datasets-a
openml__MiniBooNE__168335,VIME,gpu-expt-a
openml__MiniBooNE__168335,XGBoost,gpu-expt-a
openml__MiniBooNE__168335,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__PhishingWebsites__14952,CatBoost,gpu-expt-a
openml__PhishingWebsites__14952,DANet,algs-gpu-2-datasets-a
openml__PhishingWebsites__14952,DecisionTree,cpu-expt
openml__PhishingWebsites__14952,DeepFM,algs-gpu-2-datasets-a
openml__PhishingWebsites__14952,KNN,cpu-expt
openml__PhishingWebsites__14952,LightGBM,cpu-expt
openml__PhishingWebsites__14952,LinearModel,cpu-expt
openml__PhishingWebsites__14952,MLP,gpu-expt-a
openml__PhishingWebsites__14952,NAM,algs-gpu-2-datasets-a
openml__PhishingWebsites__14952,NODE,algs-gpu-2-datasets-a
openml__PhishingWebsites__14952,RandomForest,cpu-expt
openml__PhishingWebsites__14952,STG,algs-gpu-2-datasets-a
openml__PhishingWebsites__14952,SVM,cpu-expt
openml__PhishingWebsites__14952,TabNet,gpu-expt-a
openml__PhishingWebsites__14952,TabTransformer,algs-gpu-2-datasets-a
openml__PhishingWebsites__14952,VIME,gpu-expt-a
openml__PhishingWebsites__14952,XGBoost,gpu-expt-a
openml__PhishingWebsites__14952,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__PhishingWebsites__14952,rtdl_MLP,algs-gpu-2-datasets-a
openml__PhishingWebsites__14952,rtdl_ResNet,algs-gpu-2-datasets-a
openml__Satellite__167211,CatBoost,algs-gpu-1-datasets-b-v2
openml__Satellite__167211,CatBoost,algs-gpu-1-datasets-b
openml__Satellite__167211,DecisionTree,algs-cpu-1-datasets-b
openml__Satellite__167211,DeepFM,algs-gpu-2-datasets-b
openml__Satellite__167211,KNN,algs-cpu-1-datasets-b
openml__Satellite__167211,LightGBM,algs-cpu-1-datasets-b
openml__Satellite__167211,LinearModel,algs-cpu-1-datasets-b
openml__Satellite__167211,LinearModel,all-datasets-b
openml__Satellite__167211,MLP,algs-gpu-1-datasets-b-v3
openml__Satellite__167211,MLP,algs-gpu-1-datasets-b
openml__Satellite__167211,NAM,algs-gpu-2-datasets-b
openml__Satellite__167211,NODE,algs-gpu-2-datasets-b
openml__Satellite__167211,RandomForest,algs-cpu-1-datasets-b
openml__Satellite__167211,STG,algs-gpu-2-datasets-b
openml__Satellite__167211,SVM,algs-cpu-1-datasets-b
openml__Satellite__167211,TabNet,algs-gpu-1-datasets-b-v3
openml__Satellite__167211,TabNet,algs-gpu-1-datasets-b
openml__Satellite__167211,TabTransformer,algs-gpu-2-datasets-b
openml__Satellite__167211,VIME,algs-gpu-1-datasets-b-v3
openml__Satellite__167211,VIME,algs-gpu-1-datasets-b
openml__Satellite__167211,XGBoost,algs-gpu-1-datasets-b-v2
openml__Satellite__167211,XGBoost,algs-gpu-1-datasets-b-v3
openml__Satellite__167211,rtdl_FTTransformer,algs-gpu-2-datasets-b
openml__SpeedDating__146607,CatBoost,algs-gpu-1-datasets-b-v2
